Publication Date,Title,Link,json_url,fulltext_url
8/5/2019,"Robert S. Peabody Institute of Archaeology, Andover, MA",https://www.federalregister.gov/documents/2019/08/05/2019-16686/notice-of-inventory-completion-robert-s-peabody-institute-of-archaeology-andover-ma,https://www.federalregister.gov/api/v1/documents/2019-16686?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16686.xml
8/5/2019,"The University of Oregon Museum of Natural and Cultural History, Eugene, OR",https://www.federalregister.gov/documents/2019/08/05/2019-16679/notice-of-inventory-completion-the-university-of-oregon-museum-of-natural-and-cultural-history,https://www.federalregister.gov/api/v1/documents/2019-16679?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16679.xml
8/5/2019,"The University of Oregon Museum of Natural and Cultural History, Eugene, OR",https://www.federalregister.gov/documents/2019/08/05/2019-16680/notice-of-inventory-completion-the-university-of-oregon-museum-of-natural-and-cultural-history,https://www.federalregister.gov/api/v1/documents/2019-16680?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16680.xml
8/5/2019,"Nevada State Museum, Carson City, NV",https://www.federalregister.gov/documents/2019/08/05/2019-16681/notice-of-inventory-completion-nevada-state-museum-carson-city-nv,https://www.federalregister.gov/api/v1/documents/2019-16681?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16681.xml
8/5/2019,"University of Alabama Museums, Tuscaloosa, AL",https://www.federalregister.gov/documents/2019/08/05/2019-16685/notice-of-inventory-completion-university-of-alabama-museums-tuscaloosa-al,https://www.federalregister.gov/api/v1/documents/2019-16685?publication_date=2019-08-05,https://www.federalregister.gov/documents/full_text/xml/2019/08/05/2019-16685.xml
7/19/2019,"State University of New York at Oswego, Oswego, NY",https://www.federalregister.gov/documents/2019/07/19/2019-15439/notice-of-inventory-completion-state-university-of-new-york-at-oswego-oswego-ny,https://www.federalregister.gov/api/v1/documents/2019-15439?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15439.xml
7/19/2019,"State University of New York at Oswego, Oswego, NY",https://www.federalregister.gov/documents/2019/07/19/2019-15437/notice-of-inventory-completion-state-university-of-new-york-at-oswego-oswego-ny,https://www.federalregister.gov/api/v1/documents/2019-15437?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15437.xml
7/19/2019,"State University of New York at Oswego, Oswego, NY",https://www.federalregister.gov/documents/2019/07/19/2019-15441/notice-of-inventory-completion-state-university-of-new-york-at-oswego-oswego-ny,https://www.federalregister.gov/api/v1/documents/2019-15441?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15441.xml
7/19/2019,"State University of New York at Oswego, Oswego, NY",https://www.federalregister.gov/documents/2019/07/19/2019-15438/notice-of-inventory-completion-state-university-of-new-york-at-oswego-oswego-ny,https://www.federalregister.gov/api/v1/documents/2019-15438?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15438.xml
7/19/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/07/19/2019-15433/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-15433?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15433.xml
7/19/2019,"State University of New York at Oswego, Oswego, NY",https://www.federalregister.gov/documents/2019/07/19/2019-15440/notice-of-inventory-completion-state-university-of-new-york-at-oswego-oswego-ny,https://www.federalregister.gov/api/v1/documents/2019-15440?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15440.xml
7/19/2019,"Department of Anthropology, University of Alaska Anchorage, Anchorage, AK",https://www.federalregister.gov/documents/2019/07/19/2019-15435/notice-of-inventory-completion-department-of-anthropology-university-of-alaska-anchorage-anchorage,https://www.federalregister.gov/api/v1/documents/2019-15435?publication_date=2019-07-19,https://www.federalregister.gov/documents/full_text/xml/2019/07/19/2019-15435.xml
7/15/2019,"U.S. Department of the Interior, Bureau of Reclamation, Nebraska-Kansas Area Office, McCook, NE, and History Nebraska (Formerly the Nebraska State Historical Society), Lincoln, NE",https://www.federalregister.gov/documents/2019/07/15/2019-14934/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-reclamation-nebraska-kansas,https://www.federalregister.gov/api/v1/documents/2019-14934?publication_date=2019-07-15,https://www.federalregister.gov/documents/full_text/xml/2019/07/15/2019-14934.xml
7/15/2019,"University of Louisville, Louisville, KY",https://www.federalregister.gov/documents/2019/07/15/2019-14931/notice-of-inventory-completion-university-of-louisville-louisville-ky,https://www.federalregister.gov/api/v1/documents/2019-14931?publication_date=2019-07-15,https://www.federalregister.gov/documents/full_text/xml/2019/07/15/2019-14931.xml
7/15/2019,"Oregon State Parks and Recreation Department, Salem, OR and Oregon State University, NAGPRA Office, Corvallis, OR",https://www.federalregister.gov/documents/2019/07/15/2019-14932/notice-of-inventory-completion-oregon-state-parks-and-recreation-department-salem-or-and-oregon,https://www.federalregister.gov/api/v1/documents/2019-14932?publication_date=2019-07-15,https://www.federalregister.gov/documents/full_text/xml/2019/07/15/2019-14932.xml
7/15/2019,"U.S. Department of the Interior, Bureau of Reclamation, Nebraska-Kansas Area Office, McCook, NE, and History Nebraska (Formerly the Nebraska State Historical Society), Lincoln, NE",https://www.federalregister.gov/documents/2019/07/15/2019-14933/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-reclamation-nebraska-kansas,https://www.federalregister.gov/api/v1/documents/2019-14933?publication_date=2019-07-15,https://www.federalregister.gov/documents/full_text/xml/2019/07/15/2019-14933.xml
7/9/2019,"Memphis Pink Palace Museum, Memphis, TN",https://www.federalregister.gov/documents/2019/07/09/2019-14565/notice-of-inventory-completion-memphis-pink-palace-museum-memphis-tn,https://www.federalregister.gov/api/v1/documents/2019-14565?publication_date=2019-07-09,https://www.federalregister.gov/documents/full_text/xml/2019/07/09/2019-14565.xml
7/9/2019,"Peabody Museum of Archaeology and Ethnology, Harvard University, Cambridge, MA",https://www.federalregister.gov/documents/2019/07/09/2019-14567/notice-of-inventory-completion-peabody-museum-of-archaeology-and-ethnology-harvard-university,https://www.federalregister.gov/api/v1/documents/2019-14567?publication_date=2019-07-09,https://www.federalregister.gov/documents/full_text/xml/2019/07/09/2019-14567.xml
7/9/2019,"Milwaukee Public Museum, Milwaukee, WI",https://www.federalregister.gov/documents/2019/07/09/2019-14563/notice-of-inventory-completion-milwaukee-public-museum-milwaukee-wi,https://www.federalregister.gov/api/v1/documents/2019-14563?publication_date=2019-07-09,https://www.federalregister.gov/documents/full_text/xml/2019/07/09/2019-14563.xml
7/9/2019,"Michigan State Police, Lansing, MI",https://www.federalregister.gov/documents/2019/07/09/2019-14566/notice-of-inventory-completion-michigan-state-police-lansing-mi,https://www.federalregister.gov/api/v1/documents/2019-14566?publication_date=2019-07-09,https://www.federalregister.gov/documents/full_text/xml/2019/07/09/2019-14566.xml
6/28/2019,"Sloan Museum, Flint, MI",https://www.federalregister.gov/documents/2019/06/28/2019-13838/notice-of-inventory-completion-sloan-museum-flint-mi,https://www.federalregister.gov/api/v1/documents/2019-13838?publication_date=2019-06-28,https://www.federalregister.gov/documents/full_text/xml/2019/06/28/2019-13838.xml
6/28/2019,"Carter County Museum, Ekalaka, MT",https://www.federalregister.gov/documents/2019/06/28/2019-13837/notice-of-inventory-completion-carter-county-museum-ekalaka-mt,https://www.federalregister.gov/api/v1/documents/2019-13837?publication_date=2019-06-28,https://www.federalregister.gov/documents/full_text/xml/2019/06/28/2019-13837.xml
6/28/2019,"Autry Museum of the American West, Los Angeles, CA",https://www.federalregister.gov/documents/2019/06/28/2019-13840/notice-of-inventory-completion-autry-museum-of-the-american-west-los-angeles-ca,https://www.federalregister.gov/api/v1/documents/2019-13840?publication_date=2019-06-28,https://www.federalregister.gov/documents/full_text/xml/2019/06/28/2019-13840.xml
6/28/2019,"Department of Folk Studies and Anthropology at Western Kentucky University, Bowling Green, KY",https://www.federalregister.gov/documents/2019/06/28/2019-13839/notice-of-inventory-completion-department-of-folk-studies-and-anthropology-at-western-kentucky,https://www.federalregister.gov/api/v1/documents/2019-13839?publication_date=2019-06-28,https://www.federalregister.gov/documents/full_text/xml/2019/06/28/2019-13839.xml
6/14/2019,"U.S. Department of the Interior, National Park Service, Effigy Mounds National Monument, Harpers Ferry, IA",https://www.federalregister.gov/documents/2019/06/14/2019-12590/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-effigy-mounds,https://www.federalregister.gov/api/v1/documents/2019-12590?publication_date=2019-06-14,https://www.federalregister.gov/documents/full_text/xml/2019/06/14/2019-12590.xml
6/13/2019,"The State Center Community College District-Fresno City College, Fresno, CA",https://www.federalregister.gov/documents/2019/06/13/2019-12464/notice-of-inventory-completion-the-state-center-community-college-district-fresno-city-college,https://www.federalregister.gov/api/v1/documents/2019-12464?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12464.xml
6/13/2019,"Department of Anthropology, Southern Methodist University, Dallas, TX",https://www.federalregister.gov/documents/2019/06/13/2019-12465/notice-of-inventory-completion-department-of-anthropology-southern-methodist-university-dallas-tx,https://www.federalregister.gov/api/v1/documents/2019-12465?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12465.xml
6/13/2019,"Department of Anthropology, Southern Methodist University, Dallas, TX",https://www.federalregister.gov/documents/2019/06/13/2019-12469/notice-of-inventory-completion-department-of-anthropology-southern-methodist-university-dallas-tx,https://www.federalregister.gov/api/v1/documents/2019-12469?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12469.xml
6/13/2019,"Department of Anthropology, Southern Methodist University, Dallas, TX",https://www.federalregister.gov/documents/2019/06/13/2019-12462/notice-of-inventory-completion-department-of-anthropology-southern-methodist-university-dallas-tx,https://www.federalregister.gov/api/v1/documents/2019-12462?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12462.xml
6/13/2019,"Department of Anthropology, Southern Methodist University, Dallas, TX",https://www.federalregister.gov/documents/2019/06/13/2019-12463/notice-of-inventory-completion-department-of-anthropology-southern-methodist-university-dallas-tx,https://www.federalregister.gov/api/v1/documents/2019-12463?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12463.xml
6/13/2019,"Fort Lewis College, Durango, CO",https://www.federalregister.gov/documents/2019/06/13/2019-12467/notice-of-inventory-completion-fort-lewis-college-durango-co,https://www.federalregister.gov/api/v1/documents/2019-12467?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12467.xml
6/13/2019,"Department of Anthropology, Southern Methodist University, Dallas, TX",https://www.federalregister.gov/documents/2019/06/13/2019-12470/notice-of-inventory-completion-department-of-anthropology-southern-methodist-university-dallas-tx,https://www.federalregister.gov/api/v1/documents/2019-12470?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12470.xml
6/13/2019,"Department of Anthropology, Southern Methodist University, Dallas, TX",https://www.federalregister.gov/documents/2019/06/13/2019-12466/notice-of-inventory-completion-department-of-anthropology-southern-methodist-university-dallas-tx,https://www.federalregister.gov/api/v1/documents/2019-12466?publication_date=2019-06-13,https://www.federalregister.gov/documents/full_text/xml/2019/06/13/2019-12466.xml
